stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.02473] added dtor for sub_bitmap 000001926D3E86C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02481] added dtor for sub_bitmap 000001926D3E7740, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02487] added dtor for sub_bitmap 000001926D3E7930, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02495] added dtor for sub_bitmap 000001926D3E7550, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02505] added dtor for sub_bitmap 000001926D3E7B20, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02514] added dtor for sub_bitmap 000001926D3E7D10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02526] added dtor for sub_bitmap 000001926D3E8AA0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02539] added dtor for sub_bitmap 000001926D3E82E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02546] added dtor for sub_bitmap 000001926D3E80F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02568] added dtor for sub_bitmap 000001926D3E84D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02578] added dtor for sub_bitmap 000001926D3E6D90, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02587] added dtor for sub_bitmap 000001926D3E6F80, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02595] added dtor for sub_bitmap 000001926D3EA6D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02609] added dtor for sub_bitmap 000001926D3E9B30, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02620] added dtor for sub_bitmap 000001926D3EA2F0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02626] added dtor for sub_bitmap 000001926D3EA8C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02632] added dtor for sub_bitmap 000001926D3E9D20, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02639] added dtor for sub_bitmap 000001926D3E9940, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02645] added dtor for sub_bitmap 000001926D3E9750, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02654] added dtor for sub_bitmap 000001926D3EAAB0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02661] added dtor for sub_bitmap 000001926D3E9560, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02669] added dtor for sub_bitmap 000001926D3E8DA0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02677] added dtor for sub_bitmap 000001926D3E8F90, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02750] added dtor for sub_bitmap 000001926D3E9180, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02786] added dtor for sub_bitmap 000001926D3E9F10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02800] added dtor for sub_bitmap 000001926D3EA100, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02806] added dtor for sub_bitmap 000001926D3EA4E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02815] added dtor for sub_bitmap 000001926D3E9370, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02825] added dtor for sub_bitmap 000001926D3ED520, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02832] added dtor for sub_bitmap 000001926D3EC1C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02839] added dtor for sub_bitmap 000001926D3ED140, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02846] added dtor for sub_bitmap 000001926D3ED330, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02854] added dtor for sub_bitmap 000001926D3EC980, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02865] added dtor for sub_bitmap 000001926D3EDED0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02882] added dtor for sub_bitmap 000001926D3ED710, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02896] added dtor for sub_bitmap 000001926D3ECF50, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02903] added dtor for sub_bitmap 000001926D3ED900, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02910] added dtor for sub_bitmap 000001926D3ECB70, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02918] added dtor for sub_bitmap 000001926D3EDAF0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02937] added dtor for sub_bitmap 000001926D3EDCE0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.02949] added dtor for sub_bitmap 000001926D3EC3B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.03540] added dtor for sub_bitmap 000001926D3ECD60, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.03712] added dtor for sub_bitmap 000001926D3EC5A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.03956] added dtor for sub_bitmap 000001926D3EC790, func 00007FFE47831190
